source_row_number,course_name,department_name,college_name,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,relation_hint,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
14852,마이크로프로세서설계실험,전자공학부,IT대학,programming,프로그래밍,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
14852,마이크로프로세서설계실험,전자공학부,IT대학,c-language,C언어,,,,0.78,learning_objective_clean|prerequisite_material_clean,alias|topic_name,prerequisite,true,false,false,3
14853,임베디드시스템설계실험,전자공학부,IT대학,,,입출력,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14853,임베디드시스템설계실험,전자공학부,IT대학,computer-architecture,컴퓨터구조,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
14853,임베디드시스템설계실험,전자공학부,IT대학,operating-systems,운영체제,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
14853,임베디드시스템설계실험,전자공학부,IT대학,c-language,C언어,,,,0.68,prerequisite_material_clean,alias|topic_name,prerequisite,true,false,false,2
14914,확률과정,전자공학부,IT대학,,,변수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14915,확률과정,전자공학부,IT대학,,,변수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14920,확률과정,전자공학부,IT대학,,,변수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14920,확률과정,전자공학부,IT대학,,,확률분포,probability-statistics,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14921,확률과정,전자공학부,IT대학,,,변수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14921,확률과정,전자공학부,IT대학,,,확률분포,probability-statistics,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14922,기초전자실험 및 설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14923,기초전자실험 및 설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14925,기초전자실험 및 설계,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14925,기초전자실험 및 설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14926,기초전자실험 및 설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14927,기초전자실험 및 설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14929,기초전자실험 및 설계,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14929,기초전자실험 및 설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14930,기초전자실험 및 설계,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14930,기초전자실험 및 설계,전자공학부,IT대학,deployment,배포,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14935,기초전자실험 및 설계,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14935,기초전자실험 및 설계,전자공학부,IT대학,github,GitHub,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14989,회로이론2,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
15016,논리회로,전자공학부,IT대학,discrete-mathematics,이산수학,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
15019,논리회로,전자공학부,IT대학,algorithms,알고리즘,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
15020,논리회로,전자공학부,IT대학,programming,프로그래밍,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
15025,전자공학실험1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
15026,전자공학실험1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
15028,전자공학실험1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
15030,전자공학실험1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
15039,전자공학실험2,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
15046,전자공학실험2,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
15065,신호및시스템,전자공학부,IT대학,,,입출력,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
15072,마이크로프로세서,전자공학부,IT대학,programming,프로그래밍,,,,0.71,main_textbook_clean|prerequisite_material_clean,topic_name,prerequisite,true,false,false,2
15072,마이크로프로세서,전자공학부,IT대학,c-language,C언어,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
15073,마이크로프로세서,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
15073,마이크로프로세서,전자공학부,IT대학,c-language,C언어,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
15074,마이크로프로세서,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
15074,마이크로프로세서,전자공학부,IT대학,c-language,C언어,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
15077,통신이론,전자공학부,IT대학,,,함수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
15080,통신이론,전자공학부,IT대학,,,변수,programming-basic-syntax,3,0.65,prerequisite_material_clean,depth3_candidate,prerequisite,false,true,false,1
15085,자동제어,전자공학부,IT대학,,,함수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
15120,반도체재료,전자공학부,IT대학,,,인터넷,networks,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
15132,데이터마이닝응용,전자공학부,IT대학,discrete-mathematics,이산수학,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
15136,이동통신,전자공학부,IT대학,,,프로토콜,networks,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
15140,기계학습시스템설계,전자공학부,IT대학,machine-learning,머신러닝,,,,0.98,course_name_clean|learning_objective_clean,alias,,true,false,true,2
15140,기계학습시스템설계,전자공학부,IT대학,python,Python,,,,0.83,learning_objective_clean|main_textbook_clean,alias|topic_name,,true,false,false,3
15140,기계학습시스템설계,전자공학부,IT대학,pandas,Pandas,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
15140,기계학습시스템설계,전자공학부,IT대학,artificial-intelligence,인공지능,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
15140,기계학습시스템설계,전자공학부,IT대학,deep-learning,딥러닝,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
15140,기계학습시스템설계,전자공학부,IT대학,github,GitHub,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
15140,기계학습시스템설계,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
15143,사물컴퓨팅시스템설계,전자공학부,IT대학,c-language,C언어,,,,0.8,learning_objective_clean,alias|topic_name,,true,false,false,2
