external_id,title,provider_name,main_category,sub_category,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
7ca4a3a710569763,"코딩으로 푸는 수학, 기초 파이썬",국립군산대학교,공학,컴퓨터과학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.77,description_body_clean,alias,true,false,false,1
7e27c3057d198d03,풀스택(Full-stack) 웹개발 프로젝트,국립군산대학교,공학,소프트웨어공학,,,스택,data-structures,3,1.0,description_keyword_items|description_keywords_raw|title_clean,depth3_candidate,false,true,false,4
7e27c3057d198d03,풀스택(Full-stack) 웹개발 프로젝트,국립군산대학교,공학,소프트웨어공학,frontend-development,프론트엔드 개발,,,,0.92,description_body_clean|description_keyword_items|description_keywords_raw,alias,true,false,true,3
7e27c3057d198d03,풀스택(Full-stack) 웹개발 프로젝트,국립군산대학교,공학,소프트웨어공학,backend-development,백엔드 개발,,,,0.87,description_body_clean|description_keyword_items|description_keywords_raw,alias,true,false,true,3
80e706fcdd20870b,Orange3으로 배우는 기계학습,국립금오공과대학교,공학,컴퓨터공학,machine-learning,머신러닝,,,,1.0,description_body_clean|description_keywords_raw|title_clean,alias,true,false,true,3
80e706fcdd20870b,Orange3으로 배우는 기계학습,국립금오공과대학교,공학,컴퓨터공학,,,분류,machine-learning,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
80e706fcdd20870b,Orange3으로 배우는 기계학습,국립금오공과대학교,공학,컴퓨터공학,,,회귀,machine-learning,3,0.93,description_keyword_items|description_keywords_raw,depth3_candidate,false,true,false,2
80e706fcdd20870b,Orange3으로 배우는 기계학습,국립금오공과대학교,공학,컴퓨터공학,artificial-intelligence,인공지능,,,,0.93,description_keyword_items|description_keywords_raw,topic_name,true,false,false,2
80e706fcdd20870b,Orange3으로 배우는 기계학습,국립금오공과대학교,공학,컴퓨터공학,regression-analysis,회귀분석,,,,0.93,description_keyword_items|description_keywords_raw,topic_name,true,false,true,2
820c9118231ae6b9,프로그래밍을 위한 컴퓨팅적 사고,이화여자대학교,공학,컴퓨터공학,programming,프로그래밍,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,topic_name,true,false,false,4
820c9118231ae6b9,프로그래밍을 위한 컴퓨팅적 사고,이화여자대학교,공학,컴퓨터공학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.92,title_clean,alias,true,false,true,1
820c9118231ae6b9,프로그래밍을 위한 컴퓨팅적 사고,이화여자대학교,공학,컴퓨터공학,python,Python,,,,0.87,description_body_clean|description_keyword_items|description_keywords_raw,alias,true,false,true,3
820c9118231ae6b9,프로그래밍을 위한 컴퓨팅적 사고,이화여자대학교,공학,컴퓨터공학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.77,description_body_clean,alias,true,false,false,1
825c6640682fcc8c,SQL의 이해,영남대학교,공학,컴퓨터공학,sql,SQL,,,,1.0,description_body_clean|description_keyword_items|description_keywords_raw|title_clean,alias|topic_name,true,false,true,6
825c6640682fcc8c,SQL의 이해,영남대학교,공학,컴퓨터공학,database,데이터베이스,,,,0.93,description_keyword_items|description_keywords_raw,topic_name,true,false,false,2
879dd5084b1992eb,소프트웨어 산업의 이해,동명대학교,공학,소프트웨어공학,artificial-intelligence,인공지능,,,,0.93,description_keyword_items|description_keywords_raw,topic_name,true,false,false,2
879dd5084b1992eb,소프트웨어 산업의 이해,동명대학교,공학,소프트웨어공학,cloud-basics,클라우드 기초,,,,0.9,description_keyword_items|description_keywords_raw,alias,true,false,true,2
8a551636cf84d050,데이터분석기본,숙명여자대학교,공학,소프트웨어공학,data-preprocessing,데이터 전처리,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,true,false,true,6
8a551636cf84d050,데이터분석기본,숙명여자대학교,공학,소프트웨어공학,data-visualization,데이터 시각화,,,,0.95,description_body_clean|description_keyword_items|description_keywords_raw,alias|topic_name,true,false,true,6
8a551636cf84d050,데이터분석기본,숙명여자대학교,공학,소프트웨어공학,data-collection,데이터 수집,,,,0.93,description_keyword_items|description_keywords_raw,topic_name,true,false,true,2
8a551636cf84d050,데이터분석기본,숙명여자대학교,공학,소프트웨어공학,data-analysis,데이터 분석,,,,0.82,description_body_clean,topic_name,true,false,false,1
8a551636cf84d050,데이터분석기본,숙명여자대학교,공학,소프트웨어공학,python,Python,,,,0.72,description_body_clean,alias,true,false,false,1
8e1152a5ec9cbb20,챗GPT와 미래 일자리,울산/경남권역센터,공학,컴퓨터과학,artificial-intelligence,인공지능,,,,0.93,description_keyword_items|description_keywords_raw,alias|topic_name,true,false,false,3
9346d71e1be636b5,파이썬 기초실습 익히기,국립군산대학교,공학,컴퓨터과학,python,Python,,,,0.97,description_keyword_items|description_keywords_raw|title_clean,alias,true,false,true,3
9346d71e1be636b5,파이썬 기초실습 익히기,국립군산대학교,공학,컴퓨터과학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.9,description_keyword_items|description_keywords_raw,alias,true,false,true,2
9346d71e1be636b5,파이썬 기초실습 익히기,국립군산대학교,공학,컴퓨터과학,programming,프로그래밍,,,,0.82,description_body_clean,topic_name,true,false,false,1
