source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason,quality_missing_ratio
37709,2022,서울대학교,공과대학,전기·정보공학부,알고리즘의 기초,전학년,1학기,3,3,0,전선,"전산학 모든 분야에 있어서 주어진 문제들을 해결하기 위해서 프로그래밍을 할 때 먼저 알고리즘을개발한 후에 코딩을 하게 되는데, 이때 알고리즘을 개발하기 위해서 이용되는 여러 가지 기법을소개한다. 알고리즘에 관한 기초가 든든한 사람은 전산학의 어떤 분야에서든지 능력을 발휘할 수있다. 예를 들어 데이터베이스 문제를 푸는 알고리즘을 개발하면 데이터베이스 논문이 되는 것이고,OS문제를 풀면 OS논문이 되는 것이며, 또 그래픽스 문제를 푸는 알고리즘을 개발하면 그래픽스논문이 된다. 따라서 훌륭한 프로그래머가 되기 위해서 반드시 들어야 할 과목이다. 본 과목에서다루는 주요 내용은, 주어진 알고리즘(프로그램)의 수행시간과 사용 공간의 계산,divideandconquer, dynamic programming, greedy 그리고 randomized 알고리즘들에 관하여공부한다. Graph에 관한 이론과 알고리즘에 대해서 공부한 후에 마지막으로 NPComplete과Approximate 알고리즘에 대해서 공부한다.",Introduction to Algorithms,,,,True,True,False,True,False,True,target_department_and_target_course,0.25
37735,2022,서울대학교,공과대학,전기·정보공학부,임베디드시스템설계,전학년,2학기,3,3,0,전선,"임베디드 프로세서 구조, 임베디드 운영체제, 임베디드 시스템에 사용되는 부품들과 그들을 집적하는 과정 등 시스템 설계에 대한 기본적인 내용을 배운다. 또한 관련 실습과 기말과제를 통하여 실제적인 설계 경험을 얻는다.","Computers as Components: Principles of Embedded Computing System Design, 4th edition","ARM SystemonChip Architecture, 2nd edition",,"컴퓨터 조직론, 디지털 시스템 설계, 자료구조, 알고리즘 (선수과목으로 권장하지만 반드시 수강해야 하는 것은 아님)",True,True,True,False,False,True,target_department_and_target_course,0.08333333333333333
37749,2022,서울대학교,공과대학,전기·정보공학부,통신시스템,전학년,1학기,3,3,0,전선,"최근 들어서 대부분의 통신시스템이 디지털통신시스템으로 바뀌어 가고 있는데, 본 강좌에서는 이러한 디지털통신시스템의 변조 및 복조에 관한 기초이론을 이해하고 그들의 응용분야인 확산대역통신시스템 및 다중사용자 무선통신시스템 그리고 정보이론 및 오류정정부호에 관한 기초이론을 다룬다.","Communication Systems Engineering, 2nd Ed.",,,,True,True,False,False,False,True,target_department_and_target_course,0.25
37754,2022,서울대학교,공과대학,전기·정보공학부,딥러닝의 기초,전학년,2학기,3,3,0,전선,"인공지능 및 머신러닝 기술의 배경지식과 활용 방법을 습득하며, 가장 대중적인 방법인 딥러닝에 대한 기초를 익히고 이와 관련된 DL 이론, 학습 방법, CNN, RNN 및 Generative model과 그 응용인 컴퓨터 비전, 자연어 처리 (NLP) 등에 대한 지식과 활용법을 실습한다.",Deep Learning,,,,True,True,False,True,False,True,target_department_and_target_course,0.25
37763,2022,서울대학교,공과대학,전기·정보공학부,아날로그 집적회로,전학년,1학기,3,3,0,전선,"This course deals with the analysis and design of analog CMOS integrated circuits, emphasizing fundaments as well as new paradigms that students and practicing engineers need to master in today’s industry.",Design of Analog CMOS Integrated Circuits 2/E,Analog and Design of Analog Integrated Circuits,,,True,True,False,False,False,True,target_department_and_target_course,0.16666666666666666
37919,2022,서울대학교,공과대학,컴퓨터공학부,이산수학,전학년,2학기,3,3,0,전필,This course covers the mathematical topics closely related to computer science.,Discrete Mathematics and Its Applications,,,,True,False,True,False,False,True,target_department_and_foundational_course,0.25
37920,2022,서울대학교,공과대학,컴퓨터공학부,프로그래밍연습,전학년,1학기,3,2,2,전선,"컴퓨터공학전공 1학년 학생을 대상으로, C언어 문법, C 프로그램 작성법, 프로그래밍 방법론에 관하여 다양한 예와 프로그래밍 실습을 통하여 심도있게 배울 수 있는 기회를 제공함으로써, 컴퓨터공학부 전공과목 수강에 필요한 컴퓨터 프로그래밍 실력을 갖출 수 있게 한다.",A Book on C (4th Edition),,,컴퓨터 개념 및 실습,True,True,False,False,False,True,target_department_and_target_course,0.16666666666666666
37923,2022,서울대학교,공과대학,컴퓨터공학부,전기전자회로,전학년,2학기,3,3,0,전필,"본 과목에서는 기본적인 전기, 전자회로의 지식을 학습한다. 학기의 초반에는 저항 회로를 중심으로 회로를 분석하는 방법을 배운다. 그리고 디지털 전자회로의 기초 소자인 MOS 트랜지스터와 스위치 회로, 그리고 증폭회로의 원리를 학습한다. 학기의 후반에는 캐패시터와 인덕터가 포함된 선형 1,2차 회로와 주파수 영역에서 회로를 분석하는 방법을 배운다. 이 과목을 통하여 디지털 시스템 하드웨어에 대한 기초 지식을 습득할 수 있을 것이다.",Foundations of Analog and Digital Electronic Circuits,,,Engineering Math 1 (공학수학 1),True,True,False,False,False,True,target_department_and_target_course,0.16666666666666666
37930,2022,서울대학교,공과대학,컴퓨터공학부,컴퓨터구조,전학년,1학기,3,3,0,전필,"컴퓨터를 구성하는 주요 구성 요소들의 기능과 그들 상호간의 작용을 이해하고 이를 바탕으로 컴퓨터 시스템을 구현하는데 사용되는 여러 설계 기법들을 학습한다. 명령어집합, 중앙처리장치, 파이프라이닝, 메모리 계층구조, 입출력장치 등을 다루며 컴퓨터 발전의 역사적 고찰 및 컴퓨터 시스템의 성능 분석에 필요한 지식을 배운다.",Computer Organization and Design (RISCV Edition),,,논리설계,True,True,False,True,False,True,target_department_and_target_course,0.16666666666666666
37931,2022,서울대학교,공과대학,컴퓨터공학부,컴퓨터구조,전학년,2학기,3,3,0,전필,"이 과목에서는 컴퓨터를 구성하는 주요 구성 요소들의 기능과 그들 상호간의 작용을 이해하고 이를 바탕으로 컴퓨터 시스템을 구현하는데 사용되는 여러 설계 기법들을 학습한다. 명령어집합, 중앙처리장치, 파이프라이닝, 메모리 계층구조, 입출력장치 등을 다루며 컴퓨터 발전의 역사적 고찰 및 컴퓨터 시스템의 성능 분석에 필요한 지식을 배운다.",Computer Organization and Design: RISCV Edition (2nd Ed.),,,"4190.103A Programming Practice, M1522.000700 Logic Design",True,True,False,True,False,True,target_department_and_target_course,0.16666666666666666
