curriculum_course_lookup_key,course_name,topic_lookup_key,topic_name,topic_depth,parent_topic_slug,relevance_score,extraction_method,is_primary,matched_fields,match_types,link_type
45969,컴퓨터네트워크,networks,네트워크,,,1.00,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
45969,컴퓨터네트워크,protocol,프로토콜,3,networks,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45969,컴퓨터네트워크,tcp-ip,TCP/IP,3,networks,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45970,컴퓨터네트워크,networks,네트워크,,,1.00,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
45970,컴퓨터네트워크,tcp-ip,TCP/IP,3,networks,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
45971,프로그래밍언어론,function,함수,3,programming-basic-syntax,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
45972,프로그래밍언어론,function,함수,3,programming-basic-syntax,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
45973,확률및통계,probability-statistics,확률과 통계,,,0.90,keyword,true,course_name_clean,alias,existing_topic
45974,확률및통계,probability-statistics,확률과 통계,,,0.90,keyword,true,course_name_clean,alias,existing_topic
46007,이산수학,discrete-mathematics,이산수학,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
46007,이산수학,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
46011,데이터마이닝,classification,분류,3,machine-learning,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
46011,데이터마이닝,clustering,클러스터링,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
46011,데이터마이닝,regression,회귀,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
46011,데이터마이닝,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
46013,데이터통신,protocol,프로토콜,3,networks,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
46020,JAVA프로그래밍,java,Java,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
46021,JAVA프로그래밍,java,Java,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
46022,JAVA프로그래밍,java,Java,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
46032,기계학습,machine-learning,머신러닝,,,0.98,keyword,true,course_name_clean|learning_objective_clean,alias,existing_topic
4691,머신러닝,machine-learning,머신러닝,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
48871,네트워크사회와빅데이터저널리즘,networks,네트워크,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
51296,데이터베이스론,queue,큐,3,data-structures,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
52544,기계학습,machine-learning,머신러닝,,,0.98,keyword,true,course_name_clean|learning_objective_clean,alias,existing_topic
52604,빅데이터개론,regression,회귀,3,machine-learning,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
52951,딥러닝과신약개발,deep-learning,딥러닝,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
53393,인공지능,clustering,클러스터링,3,machine-learning,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
53393,인공지능,neural-network,신경망,3,deep-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53393,인공지능,rnn,RNN,3,deep-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53393,인공지능,supervised-learning,지도학습,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53393,인공지능,unsupervised-learning,비지도학습,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53393,인공지능,vector,벡터,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53433,알고리즘개론,algorithms,알고리즘,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
53433,알고리즘개론,graph-data-structure,그래프 자료구조,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53433,알고리즘개론,hash,해시,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53433,알고리즘개론,searching,탐색,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53433,알고리즘개론,sorting,정렬,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
53466,알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
53478,딥러닝,deep-learning,딥러닝,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
53478,딥러닝,regression,회귀,3,machine-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
5453,핸즈온딥러닝,deep-learning,딥러닝,,,0.98,keyword,true,course_name_clean|main_textbook_clean,topic_name,existing_topic
5708,수치해석프로그래밍,numerical-analysis,수치해석,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
5723,선형대수프로그래밍,linear-algebra,선형대수,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
5723,선형대수프로그래밍,matrix,행렬,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
5723,선형대수프로그래밍,vector,벡터,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
5773,컴퓨터구조,computer-architecture,컴퓨터구조,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
57862,무역 빅데이터분석 심화,list,리스트,3,data-structures,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
58140,기계학습,machine-learning,머신러닝,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias,existing_topic
58200,선형대수,linear-algebra,선형대수,,,0.98,keyword,true,course_name_clean|main_textbook_clean,alias|topic_name,existing_topic
58200,선형대수,eigenvalue-eigenvector,고윳값과 고유벡터,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58200,선형대수,linear-transformation,선형변환,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58200,선형대수,matrix,행렬,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58200,선형대수,vector,벡터,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58200,선형대수,vector-space,벡터공간,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58213,수치해석,numerical-analysis,수치해석,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
58218,제어공학개론,graph-data-structure,그래프 자료구조,3,data-structures,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
58250,선형대수,linear-algebra,선형대수,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
58250,선형대수,linear-transformation,선형변환,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58250,선형대수,matrix,행렬,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58250,선형대수,vector,벡터,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58250,선형대수,vector-space,벡터공간,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58257,공학수학1,eigenvalue-eigenvector,고윳값과 고유벡터,3,linear-algebra,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
58257,공학수학1,matrix,행렬,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58263,컴퓨터구조,computer-architecture,컴퓨터구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
58264,자료구조및알고리즘,algorithms,알고리즘,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
58264,자료구조및알고리즘,data-structures,자료구조,,,1.00,keyword,false,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
58288,딥러닝을 이용한 컴퓨터 비전,computer-vision,컴퓨터 비전,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
58288,딥러닝을 이용한 컴퓨터 비전,deep-learning,딥러닝,,,1.00,keyword,false,course_name_clean|learning_objective_clean,topic_name,existing_topic
58301,컴퓨터네트워크,tcp-ip,TCP/IP,3,networks,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
58309,기계학습입문,machine-learning,머신러닝,,,0.98,keyword,true,course_name_clean|learning_objective_clean,alias,existing_topic
58309,기계학습입문,data-type,자료형,3,programming-basic-syntax,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58309,기계학습입문,list,리스트,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58368,이산수학,discrete-mathematics,이산수학,,,0.98,keyword,true,course_name_clean|main_textbook_clean,topic_name,existing_topic
58369,선형대수,linear-algebra,선형대수,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
58370,객체지향설계,oop,객체지향 프로그래밍,,,0.90,keyword,true,course_name_clean,alias,existing_topic
58372,확률 및 통계,probability-statistics,확률과 통계,,,0.98,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
58373,자료구조,data-structures,자료구조,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
58373,자료구조,recursion,재귀,3,algorithms,0.83,keyword,false,learning_objective_clean|prerequisite_material_clean,depth3_candidate,approved_depth3
58377,기계학습,machine-learning,머신러닝,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
58384,고급자연어처리,natural-language-processing,자연어 처리,,,0.98,keyword,true,course_name_clean|learning_objective_clean,alias,existing_topic
58384,고급자연어처리,transformer,Transformer,3,deep-learning,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58393,기계학습특강,machine-learning,머신러닝,,,0.98,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
58540,데이터 통신,protocol,프로토콜,3,networks,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
58541,컴퓨터네트워크,networks,네트워크,,,1.00,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
58541,컴퓨터네트워크,protocol,프로토콜,3,networks,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
58542,선형대수,linear-algebra,선형대수,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,alias|topic_name,existing_topic
58547,객체지향프로그래밍,oop,객체지향 프로그래밍,,,0.98,keyword,true,course_name_clean|learning_objective_clean,alias|topic_name,existing_topic
58549,자료구조및실습,data-structures,자료구조,,,1.00,keyword,true,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,existing_topic
