source_row_number,course_name,grade,semester,credit,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,is_target_department,is_target_course
31755,건축프로그래밍,2,1학기,3.0,전공필수,"건축설계에 필요한 다양한 협력분야 인지, 물리적 환경과 인간행동 상호관계의 이해, 다양한 정보의 수짐과 분석을 통한 종합적인 프로그래밍 능력을 배양한다. 설계에 필요한 자료 수집과 분석을 통한 건축 프로그램을 구성할 수 있는 능력을 지원하기 위한 과정이다.  이 과정에는 다양한 자료수집과 분석, 시설물별 기능과 건축계획각론적인 지식의 습득, 기초적인 물리적 환경과 인간 행동 상호관계의 이해, 건축을 위한 다양한 전문분야에 대한 이해와 협력, 기획에서 설계 프로세스의 작성, 다양한 정보와 수집에 대한 이해, 종합적인 프로그램 구성 능력을 갖추기 위한 과정을 포함한다.","안영배 외 4인, 『건축계획론』, 2002, 기문당",,"Henry Sanoff, 『Method of Architectural Programming, 건축계획방법론』, 윤장섭역, 1997, 태림문화사 김철주, 『단지계획, 주거환경계획의 이론과 기법』, 1996, 기문당 김진원 외 2인,『건축계획 설계론』, 2004, 도서출판 서우 Edi. by Cherry, FAIA저, 건축설계 프로그래밍, 기문당, 2009",,False,True
31840,컴퓨터프로그래밍,1,2학기,3.0,전공기초,,,,,,False,True
31841,컴퓨터프로그래밍,1,2학기,3.0,전공기초,,,,,,False,True
31846,수치해석,3,1학기,3.0,전공선택,,,,,,False,True
31860,공학선형대수학,2,1학기,3.0,전공선택,,,,,,False,True
31861,공학선형대수학,2,1학기,3.0,전공선택,,,,,,False,True
31903,공학확률과통계,3,1학기,3.0,전공선택,이 과목은 통계의 기본 개념의 이론과 응용에 초점을 맞춘다. 향후 학생들의 전공에 대한 연구를 수행함에 있어 연구주제에 적합한 통계적 방법론을 선정하는 것부터 통계분석 결과를 해석하고 시사하는 바를 도출하는데 도움이 될 것이다.,공학확률통계(제2판)구미서관(Ang and Tang/Wiley),,,,False,True
31911,도시계획을위한기초통계학,1,2학기,3.0,전공기초,"본 과목은 도시계획에 입문하는 학생들을 위한 과목으로, 향후 도시계획 및 관련분야의 실무와 학술연구수행에 필요한 기초적인 지식 함양을 목표로 함.","도시계획을 위한 조사분석 (강양석 지음, 보성각 출판)",,강사 제공 자료,선수과목은 없으며 확률과 통계에 대한 기초적인 지식,False,True
31913,컴퓨터프로그래밍,1,2학기,3.0,전공기초,1. 컴퓨터 프로그램의 기본적인 용어와 원칙에 대한 지식 배우기  2. 파이썬 언어를 이용하여 프로그램을 작성하는 방법 배우기  3. 파이썬 언어의 특징 배우기,To Be Determined (TBD),,,,False,True
31930,교통계획,2,2학기,3.0,전공필수,"교통계획을 위한 교통측정 및 조사, 교통현상의 분석, 교통계획의 평가방법을 이해시킴 교통계획과 교통현상의 기본원리를 구명하고 교통시스템 분야에 종합적으로 적용시키는 능력을 배양함 교통의 문제점을 정확히 파악하고 이를 해결하기 위한 기초를 다지는데 목적을 둠","교통공학원론(상), 도철웅 저 도시교통론, 원제무 저",,,,False,True
